rel_path,vendor,hw_platform,profile,default_topo
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P32O64/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P32O64,lt2
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P32V128/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P32V128,t0
device/arista/x86_64-arista_7060x6_64pe_b/Arista-7060X6-64PE-B-P64/buffers.json.j2,arista,x86_64-arista_7060x6_64pe_b,Arista-7060X6-64PE-B-P64,ft2
device/arista/x86_64-arista_7170_64c/Arista-7170-64C/buffers.json.j2,arista,x86_64-arista_7170_64c,Arista-7170-64C,t0
device/arista/x86_64-arista_7170_64c/Arista-7170-Q59S20/buffers.json.j2,arista,x86_64-arista_7170_64c,Arista-7170-Q59S20,t0
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-C64/buffers.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-C64,t1
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-D108C10/buffers.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-D108C10,t0
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-D108C8/buffers.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-D108C8,t0
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-D92C16/buffers.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-D92C16,t0
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-D96C16/buffers.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-D96C16,t0
device/arista/x86_64-arista_7260cx3_64/Arista-7260CX3-Q64/buffers.json.j2,arista,x86_64-arista_7260cx3_64,Arista-7260CX3-Q64,t1
device/arista/x86_64-arista_7280dr3a_36/Arista-7280DR3A-36/0/buffers.json.j2,arista,x86_64-arista_7280dr3a_36,Arista-7280DR3A-36,t2
device/arista/x86_64-arista_7280r4_32qf_32df/Arista-7280R4-32QF-32DF-64O/buffers.json.j2,arista,x86_64-arista_7280r4_32qf_32df,Arista-7280R4-32QF-32DF-64O,t2
