rel_path,vendor,hw_platform,profile,group
device/netberg/x86_64-netberg_aurora_610-r0/aurora-610/qos.json.j2,netberg,x86_64-netberg_aurora_610-r0,aurora-610,OTHER
device/netberg/x86_64-netberg_aurora_710-r0/aurora-710/qos.json.j2,netberg,x86_64-netberg_aurora_710-r0,aurora-710,OTHER
device/netberg/x86_64-netberg_aurora_715-r0/aurora-715/qos.json.j2,netberg,x86_64-netberg_aurora_715-r0,aurora-715,OTHER
device/netberg/x86_64-netberg_aurora_750-r0/aurora-750/qos.json.j2,netberg,x86_64-netberg_aurora_750-r0,aurora-750,OTHER
device/nexthop/x86_64-nexthop_4010-r0/NH-4010-128x400G-2x25G/BALANCED/qos.json.j2,nexthop,x86_64-nexthop_4010-r0,NH-4010-128x400G-2x25G,OTHER
device/nexthop/x86_64-nexthop_4010-r0/NH-4010-128x400G-2x25G/qos.json.j2,nexthop,x86_64-nexthop_4010-r0,NH-4010-128x400G-2x25G,C
device/nexthop/x86_64-nexthop_4010-r0/NH-4010-256x200G-2x25G/BALANCED/qos.json.j2,nexthop,x86_64-nexthop_4010-r0,NH-4010-256x200G-2x25G,OTHER
device/nexthop/x86_64-nexthop_4010-r0/NH-4010-256x200G-2x25G/qos.json.j2,nexthop,x86_64-nexthop_4010-r0,NH-4010-256x200G-2x25G,C
device/nexthop/x86_64-nexthop_4010-r0/NH-4010/BALANCED/qos.json.j2,nexthop,x86_64-nexthop_4010-r0,NH-4010,OTHER
device/nexthop/x86_64-nexthop_4010-r0/NH-4010/qos.json.j2,nexthop,x86_64-nexthop_4010-r0,NH-4010,C
device/nexthop/x86_64-nexthop_5010-r0/NH-5010-F-O32-C32/BALANCED/qos.json.j2,nexthop,x86_64-nexthop_5010-r0,NH-5010-F-O32-C32,OTHER
device/nexthop/x86_64-nexthop_5010-r0/NH-5010-F-O32-C32/qos.json.j2,nexthop,x86_64-nexthop_5010-r0,NH-5010-F-O32-C32,C
device/nexthop/x86_64-nexthop_5010-r0/NH-5010-F-O64/BALANCED/qos.json.j2,nexthop,x86_64-nexthop_5010-r0,NH-5010-F-O64,C
device/nexthop/x86_64-nexthop_5010-r0/NH-5010-F-O64/qos.json.j2,nexthop,x86_64-nexthop_5010-r0,NH-5010-F-O64,C
device/nokia/armhf-nokia_ixs7215_52x-r0/Nokia-7215/qos.json.j2,nokia,armhf-nokia_ixs7215_52x-r0,Nokia-7215,OTHER
device/nokia/x86_64-nokia_ixr7220_d4-r0/Nokia-IXR7220-D4-36D/qos.json.j2,nokia,x86_64-nokia_ixr7220_d4-r0,Nokia-IXR7220-D4-36D,A
device/nokia/x86_64-nokia_ixr7220_h4-r0/Nokia-IXR7220-H4-64D/qos.json.j2,nokia,x86_64-nokia_ixr7220_h4-r0,Nokia-IXR7220-H4-64D,A
device/nokia/x86_64-nokia_ixr7220_h4_32d-r0/Nokia-IXR7220-H4-32D/qos.json.j2,nokia,x86_64-nokia_ixr7220_h4_32d-r0,Nokia-IXR7220-H4-32D,A
device/nokia/x86_64-nokia_ixr7220_h5_32d-r0/Nokia-IXR7220-H5-32D/qos.json.j2,nokia,x86_64-nokia_ixr7220_h5_32d-r0,Nokia-IXR7220-H5-32D,A
device/nokia/x86_64-nokia_ixr7220_h5_64d-r0/Nokia-IXR7220-H5-64D/qos.json.j2,nokia,x86_64-nokia_ixr7220_h5_64d-r0,Nokia-IXR7220-H5-64D,A
device/nokia/x86_64-nokia_ixr7220_h5_64o-r0/Nokia-IXR7220-H5-64O/qos.json.j2,nokia,x86_64-nokia_ixr7220_h5_64o-r0,Nokia-IXR7220-H5-64O,A
device/nokia/x86_64-nokia_ixr7220_h6_128-r0/Nokia-IXR7220-H6-O256/qos.json.j2,nokia,x86_64-nokia_ixr7220_h6_128-r0,Nokia-IXR7220-H6-O256,A
device/nokia/x86_64-nokia_ixr7220_h6_128-r0/Nokia-IXR7220-H6-P128/qos.json.j2,nokia,x86_64-nokia_ixr7220_h6_128-r0,Nokia-IXR7220-H6-P128,A
device/nokia/x86_64-nokia_ixr7220_h6_64-r0/Nokia-IXR7220-H6-64/qos.json.j2,nokia,x86_64-nokia_ixr7220_h6_64-r0,Nokia-IXR7220-H6-64,A
device/nokia/x86_64-nokia_ixr7250_x3b-r0/Nokia-IXR7250-X3B/0/qos.json.j2,nokia,x86_64-nokia_ixr7250_x3b-r0,Nokia-IXR7250-X3B,C
device/nokia/x86_64-nokia_ixr7250_x3b-r0/Nokia-IXR7250-X3B/1/qos.json.j2,nokia,x86_64-nokia_ixr7250_x3b-r0,Nokia-IXR7250-X3B,C
device/nokia/x86_64-nokia_ixr7250_x4-r0/Nokia-IXR7250-X4/qos.json.j2,nokia,x86_64-nokia_ixr7250_x4-r0,Nokia-IXR7250-X4,C
device/nokia/x86_64-nokia_ixr7250e_36x400g-r0/Nokia-IXR7250E-36x100G/0/qos.json.j2,nokia,x86_64-nokia_ixr7250e_36x400g-r0,Nokia-IXR7250E-36x100G,C
device/nokia/x86_64-nokia_ixr7250e_36x400g-r0/Nokia-IXR7250E-36x100G/1/qos.json.j2,nokia,x86_64-nokia_ixr7250e_36x400g-r0,Nokia-IXR7250E-36x100G,C
device/nokia/x86_64-nokia_ixr7250e_36x400g-r0/Nokia-IXR7250E-36x400G/0/qos.json.j2,nokia,x86_64-nokia_ixr7250e_36x400g-r0,Nokia-IXR7250E-36x400G,C
